 y sex age
 4   0  50
 0   0  21
 6   0  43
 0   0  30
 0   0  26
 2   0  33
 5   1  50
 2   0  21
 4   0  48
 1   0  26
 8   0  64
 3   0  33
 1   1  30
 2   0  39
 6   0  48
 8   1  46
 3   0  35
 0   0  26
 5   1  34
 1   1  42
 4   1  55
 3   0  46
 1   0  22
 8   1  54
 6   1  47
10   1  64
 3   0  33
 6   0  56
 1   0  35
 3   0  35
 2   0  41
13   0  57
 3   0  30
 1   1  43
 7   1  62
 3   0  44
 7   0  56
 4   1  36
 3   0  35
 1   1  23
 1   0  22
 1   0  24
 5   1  41
 3   0  39
 1   0  39
 1   0  29
 3   0  51
 2   0  40
 3   0  35
 2   0  46
 4   1  39
 7   1  53
 5   0  44
 3   1  37
 6   0  53
 0   1  29
 2   0  26
 0   1  22
10   0  62
 0   0  23
 1   0  23
 1   0  21
 0   0  27
 4   0  50
 3   0  47
 3   0  48
 2   1  22
 5   1  45
 7   0  47
 9   1  51
 2   0  24
 4   1  45
 0   0  31
 3   0  35
 2   0  32
 4   1  26
 2   0  46
 2   0  21
 1   0  23
 1   1  33
 0   0  38
11   1  60
 2   0  56
 2   1  26
13   0  58
 3   0  39
 3   1  22
 6   0  52
 2   1  21
 7   0  62
 8   1  39
 2   0  49
 1   NA 30
 4   NA 59
 1   NA 20
 6   NA 29
 6   0  NA
 1   1  NA
 5   0  NA
 2   1  NA
